Flight No,Departure Time,Destination,Category,Tier1%,Tier2%,Tier3%
BA5211,14:19:00,LAX,LONG,5,15,30
BA7282,06:42:00,LAX,LONG,5,15,30
BA1896,15:33:00,FRA,SHORT,1,5,20
BA5497,18:29:00,IST,SHORT,1,5,20
BA1493,20:35:00,FRA,SHORT,1,5,20
BA4954,19:08:00,VIE,SHORT,1,5,20
BA9840,21:44:00,AMS,SHORT,1,5,20
BA7116,14:50:00,ORD,LONG,5,15,30
BA4424,12:13:00,FRA,SHORT,1,5,20
BA4878,09:55:00,IST,SHORT,1,5,20
BA8924,09:27:00,AMS,SHORT,1,5,20
BA8942,07:48:00,LAX,LONG,5,15,30
BA8213,10:11:00,MUC,SHORT,1,5,20
BA7992,06:23:00,HND,LONG,5,15,30
BA7734,14:57:00,VIE,SHORT,1,5,20
BA3129,22:37:00,CDG,SHORT,1,5,20
BA8677,17:04:00,ORD,LONG,5,15,30
BA3998,14:20:00,CDG,SHORT,1,5,20
BA9842,17:48:00,VIE,SHORT,1,5,20
BA8555,06:48:00,ZRH,SHORT,1,5,20
BA9080,22:28:00,JFK,LONG,5,15,30
BA1302,10:27:00,MAD,SHORT,1,5,20
BA1609,16:04:00,DXB,LONG,5,15,30
BA2199,17:37:00,JFK,LONG,5,15,30
BA3986,20:21:00,MUC,SHORT,1,5,20
BA8994,14:16:00,IST,SHORT,1,5,20
BA9311,18:59:00,MAD,SHORT,1,5,20
BA3363,18:59:00,ORD,LONG,5,15,30
BA9976,19:28:00,MAD,SHORT,1,5,20
BA4218,06:25:00,FRA,SHORT,1,5,20
BA5499,06:29:00,JFK,LONG,5,15,30
BA5333,08:49:00,ORD,LONG,5,15,30
BA4414,15:28:00,IST,SHORT,1,5,20
BA4125,10:44:00,JFK,LONG,5,15,30
BA4192,14:05:00,MUC,SHORT,1,5,20
BA1683,06:05:00,AMS,SHORT,1,5,20
BA3990,20:06:00,DXB,LONG,5,15,30
BA9466,22:29:00,DXB,LONG,5,15,30
BA6458,18:29:00,HND,LONG,5,15,30
BA9912,16:00:00,FRA,SHORT,1,5,20
BA9863,14:00:00,LAX,LONG,5,15,30
BA6358,06:00:00,BCN,SHORT,1,5,20
BA2032,11:10:00,DXB,LONG,5,15,30
BA7688,08:05:00,MUC,SHORT,1,5,20
BA2057,06:54:00,MUC,SHORT,1,5,20
BA9424,19:16:00,DXB,LONG,5,15,30
BA5207,22:04:00,MAD,SHORT,1,5,20
BA7077,20:07:00,FRA,SHORT,1,5,20
BA3137,12:18:00,CDG,SHORT,1,5,20
BA9353,16:31:00,AMS,SHORT,1,5,20
BA4358,11:28:00,MAD,SHORT,1,5,20
BA9861,16:12:00,ZRH,SHORT,1,5,20
BA5903,13:23:00,ORD,LONG,5,15,30
BA4485,12:47:00,JFK,LONG,5,15,30
BA2572,10:49:00,MAD,SHORT,1,5,20
BA6423,21:11:00,IST,SHORT,1,5,20
BA7406,09:41:00,LAX,LONG,5,15,30
BA1117,17:58:00,FRA,SHORT,1,5,20
BA6576,19:50:00,IST,SHORT,1,5,20
BA8214,12:45:00,AMS,SHORT,1,5,20
BA1456,11:25:00,IST,SHORT,1,5,20
BA1839,21:27:00,LAX,LONG,5,15,30
BA2095,06:43:00,LAX,LONG,5,15,30
BA8831,13:44:00,AMS,SHORT,1,5,20
BA5960,15:02:00,MUC,SHORT,1,5,20
BA6246,12:18:00,DFW,LONG,5,15,30
BA5167,13:01:00,FRA,SHORT,1,5,20
BA1644,13:27:00,FRA,SHORT,1,5,20
BA5518,16:40:00,HND,LONG,5,15,30
BA7450,22:43:00,BCN,SHORT,1,5,20
BA5169,22:12:00,DFW,LONG,5,15,30
BA3445,10:40:00,ORD,LONG,5,15,30
BA6547,18:57:00,ORD,LONG,5,15,30
BA3045,16:43:00,MAD,SHORT,1,5,20
BA9105,21:27:00,LAX,LONG,5,15,30
BA1676,13:31:00,CDG,SHORT,1,5,20
BA6083,11:04:00,BCN,SHORT,1,5,20
BA3697,11:29:00,CDG,SHORT,1,5,20
BA1957,11:14:00,BCN,SHORT,1,5,20
BA3710,14:37:00,LAX,LONG,5,15,30
BA4739,11:15:00,MAD,SHORT,1,5,20
BA8007,15:32:00,FRA,SHORT,1,5,20
BA9540,22:37:00,LAX,LONG,5,15,30
BA1547,10:56:00,DXB,LONG,5,15,30
BA5541,22:52:00,LAX,LONG,5,15,30
BA8409,08:36:00,IST,SHORT,1,5,20
BA4309,14:54:00,ZRH,SHORT,1,5,20
BA1673,19:54:00,MAD,SHORT,1,5,20
BA5904,21:36:00,LAX,LONG,5,15,30
BA2689,22:27:00,DFW,LONG,5,15,30
BA6223,12:58:00,FRA,SHORT,1,5,20
BA1189,07:57:00,DFW,LONG,5,15,30
BA2430,14:41:00,BCN,SHORT,1,5,20
BA5750,13:47:00,DFW,LONG,5,15,30
BA2419,06:39:00,DXB,LONG,5,15,30
BA5732,17:07:00,DFW,LONG,5,15,30
BA2950,10:43:00,ZRH,SHORT,1,5,20
BA7773,19:39:00,IST,SHORT,1,5,20
BA7497,10:05:00,DFW,LONG,5,15,30
BA5191,10:21:00,IST,SHORT,1,5,20
BA6259,13:17:00,DXB,LONG,5,15,30
BA1087,12:16:00,ZRH,SHORT,1,5,20
BA7067,21:30:00,FRA,SHORT,1,5,20
BA5385,19:49:00,DXB,LONG,5,15,30
BA5241,18:38:00,CDG,SHORT,1,5,20
BA8150,12:17:00,CDG,SHORT,1,5,20
BA6704,21:43:00,FRA,SHORT,1,5,20
BA5272,17:48:00,MAD,SHORT,1,5,20
BA5045,07:25:00,ORD,LONG,5,15,30
BA7747,21:08:00,BCN,SHORT,1,5,20
BA7376,16:19:00,MUC,SHORT,1,5,20
BA3518,22:07:00,CDG,SHORT,1,5,20
BA2161,09:58:00,BCN,SHORT,1,5,20
BA3152,14:55:00,FRA,SHORT,1,5,20
BA9584,17:42:00,AMS,SHORT,1,5,20
BA9483,17:30:00,BCN,SHORT,1,5,20
BA6960,12:36:00,BCN,SHORT,1,5,20
BA6215,22:10:00,JFK,LONG,5,15,30
BA9072,08:42:00,ORD,LONG,5,15,30
BA7857,08:19:00,ORD,LONG,5,15,30
BA2207,11:26:00,HND,LONG,5,15,30
BA1477,16:06:00,MUC,SHORT,1,5,20
BA4856,09:57:00,IST,SHORT,1,5,20
BA8602,06:39:00,HND,LONG,5,15,30
BA2517,07:29:00,HND,LONG,5,15,30
BA1161,21:18:00,MUC,SHORT,1,5,20
